Date,Adjusted Returns
13/4/2017,0.005529721
17/4/2017,-0.004441665
18/4/2017,-0.003682933
19/4/2017,0.012510894
20/4/2017,-0.001193637
21/4/2017,0.009629641
24/4/2017,0.006196101
25/4/2017,-0.005881199
26/4/2017,0.000765535
27/4/2017,-0.000973686
28/4/2017,0.020396953
1/5/2017,0.006344686
2/5/2017,-0.003050663
3/5/2017,-0.003604068
4/5/2017,0.016583785
5/5/2017,0.027188388
8/5/2017,0.006404823
9/5/2017,-0.004740685
10/5/2017,0.00864846
11/5/2017,0.013965746
12/5/2017,-0.002562654
15/5/2017,-0.001477301
16/5/2017,-0.033575442
17/5/2017,0.015241008
18/5/2017,0.003409051
19/5/2017,0.006076185
22/5/2017,-0.00123381
23/5/2017,-0.002991096
24/5/2017,0.00345641
25/5/2017,-0.001689741
26/5/2017,0.000390608
30/5/2017,-0.005921739
31/5/2017,0.002749268
1/6/2017,0.014819253
2/6/2017,-0.009778244
5/6/2017,0.003378367
6/6/2017,0.005956723
7/6/2017,-0.002445901
8/6/2017,-0.038776674
9/6/2017,-0.023895896
12/6/2017,0.008045514
13/6/2017,-0.009754853
14/6/2017,-0.005993521
15/6/2017,-0.013999384
16/6/2017,0.028607506
19/6/2017,-0.009088442
20/6/2017,0.005930613
21/6/2017,-0.001645124
22/6/2017,0.004463317
23/6/2017,-0.003144652
26/6/2017,-0.014332912
27/6/2017,0.014610725
28/6/2017,-0.014743265
29/6/2017,0.002366457
30/6/2017,-0.00361051
3/7/2017,0.004111448
5/7/2017,-0.009438465
6/7/2017,0.010158861
7/7/2017,0.006103651
10/7/2017,0.00323997
11/7/2017,0.001443136
12/7/2017,0.013928647
13/7/2017,0.008594559
14/7/2017,0.003489003
17/7/2017,0.003476872
18/7/2017,0.006263497
19/7/2017,-0.004503085
20/7/2017,-0.000465241
21/7/2017,0.012111451
24/7/2017,0.004273739
25/7/2017,0.004713995
26/7/2017,-0.018897506
27/7/2017,-0.007040364
28/7/2017,-0.005150686
31/7/2017,0.008875344
1/8/2017,0.047250838
2/8/2017,-0.009991147
3/8/2017,0.005270994
4/8/2017,0.015474037
7/8/2017,0.007996993
8/8/2017,0.006121944
9/8/2017,-0.031851799
10/8/2017,0.013906756
11/8/2017,0.015049507
14/8/2017,0.010947853
15/8/2017,-0.004022407
16/8/2017,-0.01919841
17/8/2017,-0.002280472
18/8/2017,-0.001841237
21/8/2017,0.016347539
22/8/2017,0.001251621
23/8/2017,-0.004438095
24/8/2017,0.003704426
25/8/2017,0.01007141
28/8/2017,0.008918024
29/8/2017,0.002700924
30/8/2017,0.003979025
31/8/2017,0.000304998
1/9/2017,-0.012008506
5/9/2017,-0.001049008
6/9/2017,-0.004014509
7/9/2017,-0.016309052
8/9/2017,0.018092446
11/9/2017,-0.003962796
12/9/2017,-0.007522166
13/9/2017,-0.008581338
14/9/2017,0.010108692
15/9/2017,-0.007568082
18/9/2017,0.000378057
19/9/2017,-0.016757763
20/9/2017,-0.017171994
21/9/2017,-0.009778964
22/9/2017,-0.008822176
25/9/2017,0.017203533
26/9/2017,0.007117642
27/9/2017,-0.006159613
28/9/2017,0.005480216
29/9/2017,-0.002011462
2/10/2017,0.004355928
3/10/2017,-0.006473239
4/10/2017,0.012444471
5/10/2017,-0.000578954
6/10/2017,0.003477039
9/10/2017,0.000385022
10/10/2017,0.004169573
11/10/2017,-0.003513334
12/10/2017,0.006346177
13/10/2017,0.018408616
16/10/2017,0.003690388
17/10/2017,-0.004424549
18/10/2017,-0.023660563
19/10/2017,0.00173099
20/10/2017,-0.000512079
23/10/2017,0.005955266
24/10/2017,-0.004392185
25/10/2017,0.006393468
26/10/2017,0.035829907
27/10/2017,0.02250857
30/10/2017,0.013915499
31/10/2017,-0.012718888
1/11/2017,0.007310192
2/11/2017,0.026113917
3/11/2017,0.010144837
6/11/2017,0.003213832
7/11/2017,0.008180375
8/11/2017,-0.002042817
9/11/2017,-0.003309493
10/11/2017,-0.004007559
13/11/2017,-0.015117599
14/11/2017,-0.013190141
15/11/2017,0.011947152
16/11/2017,-0.005552396
17/11/2017,-0.000999158
20/11/2017,0.018590424
21/11/2017,0.010511674
22/11/2017,5.72E-05
24/11/2017,-0.005029529
27/11/2017,-0.005858845
28/11/2017,-0.020743138
29/11/2017,0.013983954
30/11/2017,-0.004655184
1/12/2017,-0.007307866
4/12/2017,-0.000942272
5/12/2017,-0.003713758
6/12/2017,0.001834327
7/12/2017,0.000295191
8/12/2017,0.019484048
11/12/2017,-0.005617746
12/12/2017,0.003319811
13/12/2017,-0.000290219
14/12/2017,0.010161374
15/12/2017,0.014082931
18/12/2017,-0.010656452
19/12/2017,-0.001088539
20/12/2017,0.00378547
21/12/2017,0
22/12/2017,-0.025369922
26/12/2017,0.00017594
27/12/2017,0.002813483
28/12/2017,-0.010813662
29/12/2017,0.01790461
2/1/2018,-0.000174125
3/1/2018,0.004644912
4/1/2018,0.01138529
5/1/2018,-0.003714217
8/1/2018,-0.000114631
9/1/2018,-0.000229564
10/1/2018,0.005680295
11/1/2018,0.010326234
12/1/2018,-0.00508209
16/1/2018,0.016516183
17/1/2018,0.000893349
18/1/2018,-0.004462668
19/1/2018,-0.008181134
22/1/2018,0.000225922
23/1/2018,-0.015928617
24/1/2018,-0.017851106
25/1/2018,0.002337885
26/1/2018,-0.020698573
29/1/2018,-0.005894274
30/1/2018,0.002754952
31/1/2018,0.002090381
1/2/2018,-0.043390028
2/2/2018,-0.024984466
5/2/2018,0.041791749
6/2/2018,-0.021407152
7/2/2018,-0.027516473
8/2/2018,0.012231402
9/2/2018,0.040278851
12/2/2018,0.010017654
13/2/2018,0.018437348
14/2/2018,0.033578365
15/2/2018,-0.003237178
16/2/2018,-0.003363672
20/2/2018,-0.004538827
21/2/2018,0.00835918
22/2/2018,0.017391282
23/2/2018,0.019772107
26/2/2018,-0.00324076
27/2/2018,-0.001513583
28/2/2018,-0.017516382
1/3/2018,0.006914419
2/3/2018,0.003461751
5/3/2018,-0.000848249
6/3/2018,-0.009282855
7/3/2018,0.010912298
8/3/2018,0.017180929
9/3/2018,0.009667797
12/3/2018,-0.00963008
13/3/2018,-0.008501566
14/3/2018,0.001176856
15/3/2018,-0.003526328
16/3/2018,-0.015279208
19/3/2018,-0.000342239
20/3/2018,-0.022654693
21/3/2018,-0.014129823
22/3/2018,-0.023156456
23/3/2018,0.047471775
26/3/2018,-0.025641119
27/3/2018,-0.011049062
28/3/2018,0.007808646
29/3/2018,-0.006556115
2/4/2018,0.010259249
3/4/2018,0.019122241
4/4/2018,0.006934287
5/4/2018,-0.025578624
6/4/2018,0.009917947
9/4/2018,0.01881815
10/4/2018,-0.00467547
11/4/2018,0.009858577
12/4/2018,0.003388059
13/4/2018,0.006238298
16/4/2018,0.013763979
17/4/2018,-0.002244239
18/4/2018,-0.028340061
19/4/2018,-0.04097229
20/4/2018,-0.002896207
23/4/2018,-0.013919295
24/4/2018,0.004357351
25/4/2018,0.003483131
26/4/2018,-0.011569821
27/4/2018,0.018112287
30/4/2018,0.023236135
1/5/2018,0.044175109
2/5/2018,0.001812334
3/5/2018,0.039233377
4/5/2018,0.007234934
7/5/2018,0.00480667
8/5/2018,0.007041109
9/5/2018,0.014303973
10/5/2018,-0.003803251
11/5/2018,-0.002333148
14/5/2018,-0.009088387
15/5/2018,0.009332691
16/5/2018,-0.006323773
17/5/2018,-0.003636535
18/5/2018,0.007084927
21/5/2018,-0.00250492
22/5/2018,0.006411624
23/5/2018,-0.001114874
24/5/2018,0.002285499
25/5/2018,-0.003605954
29/5/2018,-0.002128762
30/5/2018,-0.003360033
31/5/2018,0.018034025
1/6/2018,0.008357794
4/6/2018,0.007715163
5/6/2018,0.003465793
6/6/2018,-0.002680546
7/6/2018,-0.009097493
8/6/2018,-0.002451743
11/6/2018,0.005490767
12/6/2018,-0.008217237
13/6/2018,0.000524439
14/6/2018,-0.010272573
15/6/2018,-0.000529519
18/6/2018,-0.016159818
19/6/2018,0.004362092
20/6/2018,-0.005576449
